"event","action"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event2_admire_art2_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/turnTo"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event3_admire_art2_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/lookAt"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event0_brush_teeth1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event10_brush_teeth1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/soak"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event11_brush_teeth1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/rinse"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event12_brush_teeth1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/switchOff"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event13_brush_teeth1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/put"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event1_brush_teeth1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event2_brush_teeth1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event3_brush_teeth1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event4_brush_teeth1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event5_brush_teeth1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/squeeze"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event6_brush_teeth1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/put"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event7_brush_teeth1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/brush"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event8_brush_teeth1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event9_brush_teeth1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/switchOn"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event0_brush_teeth1_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event10_brush_teeth1_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/soak"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event11_brush_teeth1_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/rinse"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event12_brush_teeth1_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/switchOff"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event13_brush_teeth1_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/put"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event1_brush_teeth1_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event2_brush_teeth1_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event3_brush_teeth1_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event4_brush_teeth1_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event5_brush_teeth1_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/squeeze"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event6_brush_teeth1_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/put"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event7_brush_teeth1_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/brush"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event8_brush_teeth1_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event9_brush_teeth1_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/switchOn"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event0_brush_teeth1_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event10_brush_teeth1_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/switchOn"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event11_brush_teeth1_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/soak"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event12_brush_teeth1_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/rinse"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event13_brush_teeth1_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/switchOff"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event14_brush_teeth1_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/put"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event1_brush_teeth1_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event2_brush_teeth1_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event3_brush_teeth1_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event4_brush_teeth1_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event5_brush_teeth1_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event6_brush_teeth1_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/squeeze"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event7_brush_teeth1_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/put"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event8_brush_teeth1_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/brush"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event9_brush_teeth1_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event0_brush_teeth1_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event10_brush_teeth1_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event11_brush_teeth1_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/switchOn"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event12_brush_teeth1_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/soak"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event13_brush_teeth1_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/rinse"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event14_brush_teeth1_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/switchOff"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event15_brush_teeth1_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/put"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event1_brush_teeth1_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event2_brush_teeth1_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event3_brush_teeth1_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event4_brush_teeth1_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event5_brush_teeth1_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event6_brush_teeth1_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event7_brush_teeth1_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/squeeze"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event8_brush_teeth1_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/put"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event9_brush_teeth1_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/brush"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event0_brush_teeth1_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event10_brush_teeth1_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/soak"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event11_brush_teeth1_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/rinse"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event12_brush_teeth1_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/switchOff"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event13_brush_teeth1_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/put"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event1_brush_teeth1_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event2_brush_teeth1_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event3_brush_teeth1_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event4_brush_teeth1_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event5_brush_teeth1_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/squeeze"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event6_brush_teeth1_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/put"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event7_brush_teeth1_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/brush"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event8_brush_teeth1_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event9_brush_teeth1_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/switchOn"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event0_clean_desk3_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event10_clean_desk3_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event11_clean_desk3_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event12_clean_desk3_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/turnTo"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event13_clean_desk3_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/wipe"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event14_clean_desk3_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/put"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event15_clean_desk3_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event16_clean_desk3_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event17_clean_desk3_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/turnTo"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event18_clean_desk3_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/wipe"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event19_clean_desk3_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/put"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event1_clean_desk3_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event2_clean_desk3_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event3_clean_desk3_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event4_clean_desk3_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event5_clean_desk3_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event6_clean_desk3_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event7_clean_desk3_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event8_clean_desk3_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event9_clean_desk3_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event0_clean_desk3_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event10_clean_desk3_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/put"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event11_clean_desk3_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event12_clean_desk3_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event13_clean_desk3_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/turnTo"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event14_clean_desk3_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/wipe"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event15_clean_desk3_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/put"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event1_clean_desk3_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event2_clean_desk3_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event3_clean_desk3_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event4_clean_desk3_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event5_clean_desk3_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event6_clean_desk3_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event7_clean_desk3_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event8_clean_desk3_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/turnTo"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event9_clean_desk3_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/wipe"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event0_clean_desk3_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event10_clean_desk3_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/turnTo"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event11_clean_desk3_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/wipe"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event12_clean_desk3_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/put"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event13_clean_desk3_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event14_clean_desk3_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event15_clean_desk3_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/turnTo"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event16_clean_desk3_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/wipe"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event17_clean_desk3_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/put"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event1_clean_desk3_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event2_clean_desk3_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event3_clean_desk3_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event4_clean_desk3_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event5_clean_desk3_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event6_clean_desk3_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event7_clean_desk3_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event8_clean_desk3_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event9_clean_desk3_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event0_clean_desk4_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event1_clean_desk4_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event2_clean_desk4_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event3_clean_desk4_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event4_clean_desk4_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event5_clean_desk4_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event6_clean_desk4_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/turnTo"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event7_clean_desk4_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/wipe"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event0_clean_desk4_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event1_clean_desk4_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event2_clean_desk4_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event3_clean_desk4_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event4_clean_desk4_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event5_clean_desk4_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event6_clean_desk4_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/turnTo"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event7_clean_desk4_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/wipe"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event0_clean_desk4_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event1_clean_desk4_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event2_clean_desk4_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event3_clean_desk4_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event4_clean_desk4_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event5_clean_desk4_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event6_clean_desk4_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event7_clean_desk4_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event8_clean_desk4_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/turnTo"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event9_clean_desk4_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/wipe"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event0_clean_fridge1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event1_clean_fridge1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event2_clean_fridge1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/grab"
