"obj","obj2","size_x1","size_y1","size_z1","center_x1","center_y1","center_z1","size_x2","size_y2","size_z2","center_x2","center_y2","center_z2"
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk380_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/kitchen209_scene1",1.068,0.95,2.028,1.809,0.475,-10.1272,5.5,3.0,8.0,-1.361,1.25,-5.5
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk111_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/kitchen209_scene1",1.068,0.95,2.028,-4.468,0.475,-7.5,5.5,3.0,8.0,-1.361,1.25,-5.5
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk380_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/livingroom342_scene1",1.068,0.95,2.028,1.809,0.475,-10.1272,8.0,3.0,8.0,4.889,1.25,-7.9782
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk111_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/mouse173_scene1",1.068,0.95,2.028,-4.468,0.475,-7.5,0.208997,0.0402507,0.172031,-4.70494,0.984097,-8.11993
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk380_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/mouse436_scene1",1.068,0.95,2.028,1.809,0.475,-10.1272,0.209242,0.0402507,0.173522,1.9097,0.984098,-9.58255
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk111_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/mousemat174_scene1",1.068,0.95,2.028,-4.468,0.475,-7.5,0.432462,0.00716543,0.43693,-4.73,0.958485,-8.111
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk380_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/mousemat437_scene1",1.068,0.95,2.028,1.809,0.475,-10.1272,0.43693,0.00716543,0.432462,1.90321,0.958486,-9.59785
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk111_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/mug199_scene1",1.068,0.95,2.028,-4.468,0.475,-7.5,0.134328,0.0995673,0.148729,-4.87298,1.00469,-6.92918
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk380_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/mug454_scene1",1.068,0.95,2.028,1.809,0.475,-10.1272,0.131799,0.0995673,0.147684,1.50979,1.00469,-9.458
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk380_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/paper459_scene1",1.068,0.95,2.028,1.809,0.475,-10.1272,0.309702,0.005,0.256023,2.183,0.954,-10.8062
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk111_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/plate198_scene1",1.068,0.95,2.028,-4.468,0.475,-7.5,0.352911,0.0233593,0.352911,-4.614,0.96453,-6.872
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk380_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/wall353_scene1",1.068,0.95,2.028,1.809,0.475,-10.1272,2.5,2.50001,2.5,2.389,1.25,-10.4782
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk111_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/wall90_scene1",1.068,0.95,2.028,-4.468,0.475,-7.5,2.5,2.50001,2.5,-5.11,1.25,-8.0
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk293_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/bedroom253_scene3",1.068,0.95,2.028,-10.6015,0.475,-0.3175,5.5,3.0,5.5,-12.4775,1.25,-1.2935
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk406_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/bedroom358_scene3",1.068,0.95,2.028,0.5,0.475,0.930001,8.0,3.0,8.0,3.75,1.25,2.49
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk293_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/book287_scene3",1.068,0.95,2.028,-10.6015,0.475,-0.3175,0.276918,0.0572548,0.221235,-10.9929,1.09336,-0.242
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk293_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/ceiling259_scene3",1.068,0.95,2.028,-10.6015,0.475,-0.3175,2.5,9.05991e-06,2.5,-11.2275,2.5,-0.0435091
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk293_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/ceiling260_scene3",1.068,0.95,2.028,-10.6015,0.475,-0.3175,2.5,9.05991e-06,2.5,-11.2275,2.5,-2.54351
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk406_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/ceiling34_scene3",1.068,0.95,2.028,0.5,0.475,0.930001,2.5,9.05991e-06,2.5,-1.25,2.5,-9.05991e-06
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk406_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/ceiling384_scene3",1.068,0.95,2.028,0.5,0.475,0.930001,2.5,9.05991e-06,2.5,1.24999,2.5,2.49
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk406_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/ceiling385_scene3",1.068,0.95,2.028,0.5,0.475,0.930001,2.5,9.05991e-06,2.5,1.24999,2.5,-0.00999916
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk406_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/ceiling39_scene3",1.068,0.95,2.028,0.5,0.475,0.930001,2.5,9.05991e-06,2.5,-1.25,2.5,2.49999
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk406_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/cpuscreen414_scene3",1.068,0.95,2.028,0.5,0.475,0.930001,0.288628,0.677607,0.9266,0.515689,1.2938,0.93
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk406_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/cupcake397_scene3",1.068,0.95,2.028,0.5,0.475,0.930001,0.0998473,0.0992232,0.0998843,0.336,1.01019,0.260001
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk293_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/folder288_scene3",1.068,0.95,2.028,-10.6015,0.475,-0.3175,0.281151,0.076369,0.320076,-10.8224,1.004,0.282
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk293_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/folder289_scene3",1.068,0.95,2.028,-10.6015,0.475,-0.3175,0.281498,0.319757,0.0763098,-10.357,1.111,0.215
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk406_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/keyboard413_scene3",1.068,0.95,2.028,0.5,0.475,0.930001,0.221636,0.0491364,0.707199,0.8,0.979567,0.825001
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk406_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/kitchen11_scene3",1.068,0.95,2.028,0.5,0.475,0.930001,8.0,3.0,10.5,-3.75,1.25,3.75
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk293_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/livingroom194_scene3",1.068,0.95,2.028,-10.6015,0.475,-0.3175,8.0,3.0,5.5,-6.228,1.25,-3.75
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk406_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/mouse411_scene3",1.068,0.95,2.028,0.5,0.475,0.930001,0.208997,0.0402507,0.172032,0.74,0.984097,1.55
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk406_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/mousemat412_scene3",1.068,0.95,2.028,0.5,0.475,0.930001,0.432462,0.00716543,0.43693,0.700001,0.958485,1.54
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk406_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/mug396_scene3",1.068,0.95,2.028,0.5,0.475,0.930001,0.134328,0.0995673,0.148729,0.799979,1.00469,0.19618
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk293_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/plate285_scene3",1.068,0.95,2.028,-10.6015,0.475,-0.3175,0.33417,0.0221189,0.33417,-10.711,0.960859,-0.8979
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk406_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/plate395_scene3",1.068,0.95,2.028,0.5,0.475,0.930001,0.352911,0.0233593,0.352911,0.399,0.96453,0.290001
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk293_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/poundcake284_scene3",1.068,0.95,2.028,-10.6015,0.475,-0.3175,0.270831,0.100321,0.270831,-10.7105,1.01616,-0.9005
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk406_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/wall15_scene3",1.068,0.95,2.028,0.5,0.475,0.930001,2.5,2.50001,2.5,-1.25,1.25,1.19209e-07
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk406_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/wall20_scene3",1.068,0.95,2.028,0.5,0.475,0.930001,0.0600044,2.50001,2.50001,-0.0299986,1.25,2.5
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk293_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/wall263_scene3",1.068,0.95,2.028,-10.6015,0.475,-0.3175,2.5,2.50001,2.5,-11.2275,1.25,-0.0435019
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk293_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/wall264_scene3",1.068,0.95,2.028,-10.6015,0.475,-0.3175,2.50005,2.50003,2.5,-11.2275,1.25001,-2.5435
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk406_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/wall374_scene3",1.068,0.95,2.028,0.5,0.475,0.930001,0.0600036,2.50001,2.50001,0.0299991,1.25,2.49
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk406_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/wall375_scene3",1.068,0.95,2.028,0.5,0.475,0.930001,2.5,2.50003,2.50005,1.25,1.25001,-0.0100135
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk27_scene5","http://kgrc4si.home.kg/virtualhome2kg/instance/breadslice111_scene5",1.06799,0.95,2.028,1.893,0.475,-0.7,0.149234,0.0127,0.16331,1.98287,0.980941,-1.18246
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk27_scene5","http://kgrc4si.home.kg/virtualhome2kg/instance/ceiling21_scene5",1.06799,0.95,2.028,1.893,0.475,-0.7,2.5,9.05991e-06,2.5,1.25,2.5,-9.05991e-06
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk27_scene5","http://kgrc4si.home.kg/virtualhome2kg/instance/ceiling22_scene5",1.06799,0.95,2.028,1.893,0.475,-0.7,2.5,9.05991e-06,2.5,1.25,2.5,-2.50001
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk27_scene5","http://kgrc4si.home.kg/virtualhome2kg/instance/cpuscreen107_scene5",1.06799,0.95,2.028,1.893,0.475,-0.7,0.288632,0.677607,0.926601,1.86031,1.2938,-0.683999
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk27_scene5","http://kgrc4si.home.kg/virtualhome2kg/instance/cupcake95_scene5",1.06799,0.95,2.028,1.893,0.475,-0.7,0.0998843,0.0992232,0.0998473,2.036,1.01379,-1.428
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk27_scene5","http://kgrc4si.home.kg/virtualhome2kg/instance/keyboard104_scene5",1.06799,0.95,2.028,1.893,0.475,-0.7,0.221639,0.0491364,0.7072,1.522,0.979567,-0.602
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk27_scene5","http://kgrc4si.home.kg/virtualhome2kg/instance/kitchen112_scene5",1.06799,0.95,2.028,1.893,0.475,-0.7,5.5,3.0,8.0,5.0,1.25,-2.478
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk27_scene5","http://kgrc4si.home.kg/virtualhome2kg/instance/livingroom11_scene5",1.06799,0.95,2.028,1.893,0.475,-0.7,5.5,3.0,5.5,0.0,1.25,-1.25
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk27_scene5","http://kgrc4si.home.kg/virtualhome2kg/instance/mouse105_scene5",1.06799,0.95,2.028,1.893,0.475,-0.7,0.209622,0.0402507,0.189278,1.648,0.984125,-1.288
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk27_scene5","http://kgrc4si.home.kg/virtualhome2kg/instance/mousemat106_scene5",1.06799,0.95,2.028,1.893,0.475,-0.7,0.470692,0.00716543,0.466602,1.673,0.958582,-1.291
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk27_scene5","http://kgrc4si.home.kg/virtualhome2kg/instance/mug97_scene5",1.06799,0.95,2.028,1.893,0.475,-0.7,0.137134,0.0995673,0.149736,2.19743,1.00478,-1.20587
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk27_scene5","http://kgrc4si.home.kg/virtualhome2kg/instance/plate96_scene5",1.06799,0.95,2.028,1.893,0.475,-0.7,0.228022,0.0150929,0.228022,2.059,0.956546,-1.422
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk27_scene5","http://kgrc4si.home.kg/virtualhome2kg/instance/plate99_scene5",1.06799,0.95,2.028,1.893,0.475,-0.7,0.29042,0.019223,0.29042,2.0147,0.964515,-1.1582
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk27_scene5","http://kgrc4si.home.kg/virtualhome2kg/instance/tablelamp76_scene5",1.06799,0.95,2.028,1.893,0.475,-0.7,0.20026,0.413036,0.185955,2.19,1.14243,-0.049
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk27_scene5","http://kgrc4si.home.kg/virtualhome2kg/instance/wall17_scene5",1.06799,0.95,2.028,1.893,0.475,-0.7,2.50005,2.50003,2.5,1.25001,1.25001,-2.5
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk27_scene5","http://kgrc4si.home.kg/virtualhome2kg/instance/wall18_scene5",1.06799,0.95,2.028,1.893,0.475,-0.7,2.5,2.50003,2.50005,1.25,1.25001,1.43051e-05
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk27_scene5","http://kgrc4si.home.kg/virtualhome2kg/instance/waterglass94_scene5",1.06799,0.95,2.028,1.893,0.475,-0.7,0.0895123,0.12345,0.0895123,1.585,1.01673,-0.0170004
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk296_scene6","http://kgrc4si.home.kg/virtualhome2kg/instance/bedroom70_scene6",2.2308,0.95,0.8544,-7.51,0.475,-9.9,8.0,3.0,8.0,-7.61,1.25,-5.5
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk296_scene6","http://kgrc4si.home.kg/virtualhome2kg/instance/breadslice350_scene6",2.2308,0.95,0.8544,-7.51,0.475,-9.9,0.149234,0.0127,0.16331,-8.26424,0.980941,-9.94396
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk296_scene6","http://kgrc4si.home.kg/virtualhome2kg/instance/ceiling284_scene6",2.2308,0.95,0.8544,-7.51,0.475,-9.9,2.5,9.05991e-06,2.5,-7.61001,2.5,-10.48
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk296_scene6","http://kgrc4si.home.kg/virtualhome2kg/instance/cpuscreen332_scene6",2.2308,0.95,0.8544,-7.51,0.475,-9.9,0.83394,0.609846,0.200965,-7.47,1.26392,-9.84485
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk296_scene6","http://kgrc4si.home.kg/virtualhome2kg/instance/cupcake351_scene6",2.2308,0.95,0.8544,-7.51,0.475,-9.9,0.0998843,0.0992232,0.0998473,-8.088,1.00452,-10.1344
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk296_scene6","http://kgrc4si.home.kg/virtualhome2kg/instance/keyboard334_scene6",2.2308,0.95,0.8544,-7.51,0.475,-9.9,0.707199,0.0491364,0.221636,-7.51,0.971567,-10.11
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk296_scene6","http://kgrc4si.home.kg/virtualhome2kg/instance/livingroom260_scene6",2.2308,0.95,0.8544,-7.51,0.475,-9.9,8.0,3.0,8.0,-5.11,1.25,-12.98
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk296_scene6","http://kgrc4si.home.kg/virtualhome2kg/instance/mouse330_scene6",2.2308,0.95,0.8544,-7.51,0.475,-9.9,0.173522,0.0402507,0.209242,-6.71435,0.984098,-10.0007
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk296_scene6","http://kgrc4si.home.kg/virtualhome2kg/instance/mousemat331_scene6",2.2308,0.95,0.8544,-7.51,0.475,-9.9,0.432462,0.00716543,0.436931,-6.72965,0.958486,-10.058
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk296_scene6","http://kgrc4si.home.kg/virtualhome2kg/instance/mug335_scene6",2.2308,0.95,0.8544,-7.51,0.475,-9.9,0.147684,0.0995673,0.131799,-7.97958,1.01478,-9.96947
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk296_scene6","http://kgrc4si.home.kg/virtualhome2kg/instance/paper337_scene6",2.2308,0.95,0.8544,-7.51,0.475,-9.9,0.27,0.005,0.196001,-6.734,0.952,-9.74
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk296_scene6","http://kgrc4si.home.kg/virtualhome2kg/instance/plate348_scene6",2.2308,0.95,0.8544,-7.51,0.475,-9.9,0.29042,0.019223,0.29042,-8.26639,0.964515,-9.92715
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk296_scene6","http://kgrc4si.home.kg/virtualhome2kg/instance/wall271_scene6",2.2308,0.95,0.8544,-7.51,0.475,-9.9,2.5,2.50001,2.5,-7.61,1.25,-10.48
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk227_scene2","http://kgrc4si.home.kg/virtualhome2kg/instance/bedroom197_scene2",1.068,0.95,2.028,-1.872,0.475,0.386,8.0,3.0,8.0,1.25,1.25,2.5
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk304_scene2","http://kgrc4si.home.kg/virtualhome2kg/instance/book332_scene2",2.028,0.95,1.068,-13.172,0.475,1.851,0.261831,0.0572547,0.308118,-13.711,0.984,1.462
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk227_scene2","http://kgrc4si.home.kg/virtualhome2kg/instance/ceiling215_scene2",1.068,0.95,2.028,-1.872,0.475,0.386,2.5,9.05991e-06,2.5,-1.25,2.5,-9.05991e-06
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk227_scene2","http://kgrc4si.home.kg/virtualhome2kg/instance/ceiling216_scene2",1.068,0.95,2.028,-1.872,0.475,0.386,2.5,9.05991e-06,2.5,-1.25,2.5,2.49999
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk304_scene2","http://kgrc4si.home.kg/virtualhome2kg/instance/ceiling285_scene2",2.028,0.95,1.068,-13.172,0.475,1.851,2.5,9.05991e-06,2.5,-11.25,2.5,2.478
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk304_scene2","http://kgrc4si.home.kg/virtualhome2kg/instance/ceiling286_scene2",2.028,0.95,1.068,-13.172,0.475,1.851,2.5,9.05991e-06,2.5,-13.75,2.5,2.478
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk227_scene2","http://kgrc4si.home.kg/virtualhome2kg/instance/cpuscreen243_scene2",1.068,0.95,2.028,-1.872,0.475,0.386,0.288628,0.677607,0.9266,-1.85431,1.2888,0.353998
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk304_scene2","http://kgrc4si.home.kg/virtualhome2kg/instance/cpuscreen309_scene2",2.028,0.95,1.068,-13.172,0.475,1.851,0.9266,0.677607,0.288628,-13.152,1.2888,1.92669
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk227_scene2","http://kgrc4si.home.kg/virtualhome2kg/instance/keyboard244_scene2",1.068,0.95,2.028,-1.872,0.475,0.386,0.221636,0.0491364,0.707199,-1.54,0.979567,0.408
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk304_scene2","http://kgrc4si.home.kg/virtualhome2kg/instance/keyboard310_scene2",2.028,0.95,1.068,-13.172,0.475,1.851,0.707199,0.0491364,0.221636,-13.113,0.974567,2.211
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk227_scene2","http://kgrc4si.home.kg/virtualhome2kg/instance/kitchen51_scene2",1.068,0.95,2.028,-1.872,0.475,0.386,8.0,3.0,8.0,-6.25,1.25,2.5
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk304_scene2","http://kgrc4si.home.kg/virtualhome2kg/instance/livingroom274_scene2",2.028,0.95,1.068,-13.172,0.475,1.851,8.0,3.0,8.0,-13.75,1.25,4.978
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk227_scene2","http://kgrc4si.home.kg/virtualhome2kg/instance/mouse246_scene2",1.068,0.95,2.028,-1.872,0.475,0.386,0.198167,0.0402507,0.138742,-1.59027,0.984194,1.00564
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk304_scene2","http://kgrc4si.home.kg/virtualhome2kg/instance/mouse312_scene2",2.028,0.95,1.068,-13.172,0.475,1.851,0.169669,0.0402507,0.208554,-13.782,0.980125,2.131
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk227_scene2","http://kgrc4si.home.kg/virtualhome2kg/instance/mousemat247_scene2",1.068,0.95,2.028,-1.872,0.475,0.386,0.43693,0.00716543,0.432462,-1.612,0.958582,1.026
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk304_scene2","http://kgrc4si.home.kg/virtualhome2kg/instance/mousemat311_scene2",2.028,0.95,1.068,-13.172,0.475,1.851,0.436931,0.00716543,0.432462,-13.812,0.953582,2.111
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk227_scene2","http://kgrc4si.home.kg/virtualhome2kg/instance/paper266_scene2",1.068,0.95,2.028,-1.872,0.475,0.386,0.196,0.005,0.27,-1.47199,0.957,-0.179774
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk227_scene2","http://kgrc4si.home.kg/virtualhome2kg/instance/papertray267_scene2",1.068,0.95,2.028,-1.872,0.475,0.386,0.373349,0.317162,0.25,-2.02,1.13,1.26
