filename,./outputs/q1mult_CompleteData_NoGPT_20250114_203050.csv,./outputs/q1mult_PartiallyMissingData_NoGPT_20250119_225133.csv,./outputs/q1mult_PartiallyMissingData_GPT_20250118_184104.csv,ground_truth
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day7_kitchen.json,16.0,15.0,16.0,16.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day7_livingroom.json,9.0,8.0,8.0,9.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day8_bathroom.json,7.0,0.0,0.0,6.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day8_bedroom.json,13.0,2.0,2.0,12.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day8_kitchen.json,12.0,4.0,4.0,12.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day8_livingroom.json,5.0,3.0,3.0,5.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day8_toilet.json,0.0,0.0,0.0,1.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day9_bathroom.json,2.0,4.0,4.0,1.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day9_bedroom.json,4.0,8.0,9.0,4.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day9_kitchen.json,7.0,9.0,9.0,7.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene1_Day9_livingroom.json,5.0,4.0,4.0,5.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene2_Day10_bedroom.json,0.0,1.0,1.0,1.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene2_Day10_kitchen.json,6.0,2.0,1.0,6.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene2_Day10_livingroom.json,6.0,0.0,0.0,5.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene2_Day1_bedroom.json,3.0,4.0,4.0,4.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene2_Day1_kitchen.json,8.0,8.0,8.0,10.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene2_Day1_livingroom.json,5.0,5.0,5.0,6.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene2_Day2_bedroom.json,1.0,1.0,1.0,2.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene2_Day2_kitchen.json,4.0,1.0,1.0,6.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene2_Day2_livingroom.json,3.0,0.0,0.0,3.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene2_Day3_bedroom.json,2.0,N/A,N/A,3.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene2_Day3_kitchen.json,5.0,N/A,N/A,6.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene2_Day3_livingroom.json,2.0,N/A,N/A,3.0
../Knowledge-Graph-Reasoning-Challenge/DataSet/QA/MultiChoice/Q1/q1_answer_scene2_Day4_bedroom.json,4.0,N/A,N/A,3.0
